Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
F,3,6,PELANGI UTAMA APARTMENT,6,JALAN MASJID,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
,,,PELANGI UTAMA RESIDENCES,,JALAN MASJID,KAMPUNG SUNGAI KAYU ARA,47400,PETALING JAYA,SELANGOR,,
,,,9 BUKIT UTAMA,,PERSIARAN BUKIT UTAMA,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
B,2,4,MUTIARA DAMANSARA POLICE STATION,4,JALAN PJU 7/15,MUTIARA DAMANSARA,47800,PETALING JAYA,SELANGOR,,
,,,DESA MUTIARA APARTMENT,,LORONG PJU 7/15B,MUTIARA DAMANSARA,47820,PETALING JAYA,SELANGOR,,
,,,,6,JALAN PJU 7/8C,MUTIARA DAMANSARA,47800,PETALING JAYA,SELANGOR,,
F,11,1,GUGUSAN MELATI,1,JALAN CAMAR 4/5,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
J,10,12,PELANGI DAMANSARA APARTMENT,12,PERSIARAN SURIAN,PELANGI DAMANSARA,47800,PETALING JAYA,SELANGOR,,
H,8,2,PELANGI DAMANSARA CONDOMINIUM,,PERSIARAN SURIAN,PELANGI DAMANSARA,47800,PETALING JAYA,SELANGOR,,
A,5,21,BAYU PUTERI APARTMENT,21,JALAN TROPICANA SELATAN,TROPICANA,47800,PETALING JAYA,SELANGOR,,
C,15,21,BAYU PUTERI APARTMENT,21,JALAN TROPICANA SELATAN,TROPICANA,47800,PETALING JAYA,SELANGOR,,
B,10,2,BAYU PUTERI APARTMENT,2,JALAN TROPICANA SELATAN,TROPICANA,47800,PETALING JAYA,SELANGOR,,
C,16,2,BAYU PUTERI APARTMENT,2,JALAN TROPICANA SELATAN,TROPICANA,47800,PETALING JAYA,SELANGOR,,
,,,,9,JALAN RIMBA RIANG 9/16,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,,JALAN CAMAR 4/26,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,20,JALAN CAMAR 4/22A,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
12,4,4,GUGUSAN SEMARAK,4,JALAN CAMAR 4/6,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,1,JALAN CAMAR 4/7,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,GUGUSAN TANJUNG,,JALAN CECAWI 6/19,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,25C,,25C,JALAN CECAWI 6/19A,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,28,JALAN CECAWI 6/23,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,10,JALAN CECAWI 6/23,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,31,JALAN CECAWI 6/24,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,2,JALAN CECAWI 6/6A,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
I,1,7,D'RIMBA APARTMENT,7,JALAN KENYALANG 11/14,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,10,JALAN KENYALANG 11/15,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,2,JALAN KENYALANG 11/15G,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
C,,,SALVIA APARTMENT,3,JALAN KENYALANG 11/3,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,6,JALAN KENYALANG 11/4A,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,6,JALAN KENYALANG 11/8B,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
D,,603,DE ROZELLE,,JALAN MERBAH 10/1,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
B,5,5,PPR KOTA DAMANSARA,5,JALAN PEKAKA 8/1,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,12A,JALAN RIMBA RIANG 9/15,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,69,JALAN SEPAH PUTERI 5/19,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,135,JALAN SEPAH PUTERI 5/3,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,78,JALAN SEPAH PUTERI 5/6,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,10,JALAN SEPAH PUTERI 5/8,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,GUGUSAN DEDAP,,JALAN KENYALANG 11/1,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,TAINIA APARTMENT,,JALAN KENYALANG 11/3,SEKSYEN 11 KOTA DAMANSARA PJU 5,47810,PETALING JAYA,SELANGOR,,
C1,2,1,TAINIA APARTMENT,,JALAN KENYALANG 11/3,SEKSYEN 11 KOTA DAMANSARA PJU 5,47810,PETALING JAYA,SELANGOR,,
G,2,6,D'SHIRE VILLA APARTMENT,,JALAN CAMAR,KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
B,1,11,GUGUSAN KEMUNING,,JALAN PEKAKA 8/1,SEKSYEN 8 KOTA DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,PALM SPRING DAMANSARA CONDOMINIUM,1,JALAN PJU 3/29,SUNWAY DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,LAMAN IMPIAN GARDEN VILLA,12-Jan,JALAN PJU 3/24,SUNWAY DAMANSARA,47810,PETALING JAYA,SELANGOR,,
,,,,9,JALAN PJU 3/26,TROPICANA,47810,PETALING JAYA,SELANGOR,,
D,,,PALM SPRING CONDOMINIUMS,,JALAN PJU 3/29,SUNWAY DAMANSARA,47810,PETALING JAYA,SELANGOR,,
B,12,12,PALM SPRING DAMANSARA CONDOMINIUM,1,JALAN PJU 3/29,SUNWAY DAMANSARA,47810,PETALING JAYA,SELANGOR,,
A,,,PALM SPRING CONDOMINIUMS,,JALAN PJU 3/29,SUNWAY DAMANSARA,47810,PETALING JAYA,SELANGOR,,
H,20,7,FLORA DAMANSARA,7,JALAN PJU 8/9,DAMANSARA PERDANA,47810,PETALING JAYA,SELANGOR,,
D,13A,3A,PERDANA EXCLUSIVE CONDO,3A,JALAN PJU 8/1,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
F,19,22,FLORA DAMANSARA,22,JALAN PJU 8/9,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
D,12,2,METROPOLITAN SQUARE,2,JALAN PJU 8/1,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
D,,203A,PERDANA EXCLUSIVE CONDO,,JALAN PJU 8/1,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
B,9,7,RITZE PERDANA 2,7,JALAN PJU 8/1,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
F,,16-21,METROPOLITAN SQUARE,,JALAN PJU 8/8,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
F,15,5,METROPOLITAN SQUARE,5,JALAN PJU 8/8,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
F,12,13,METROPOLITAN SQUARE,13,JALAN PJU 8/8,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
E,,23-28,FLORA DAMANSARA,,"JALAN PJU 8/9,",DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
H,9,2,FLORA DAMANSARA,2,JALAN PJU 8/9,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
A,1,28,RITZE PERDANA 2,28,JALAN PJU 8/1,DAMANSARA PERDANA,47820,PETALING JAYA,SELANGOR,,
,,,,9,LORONG PJU 7/21B,MUTIARA DAMANSARA,47820,PETALING JAYA,SELANGOR,,
H,1,15,DESA MUTIARA APARTMENT,15,JALAN PJU 7/15B,MUTIARA DAMANSARA,47820,PETALING JAYA,SELANGOR,,
S,2,24,IDAMAN APARTMENT,24,JALAN PJU 10/1,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
H,G,5,APARTMENT IDAMAN,,JALAN PJU 10/1,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
C,,,APARTMENT PERMAI,,JALAN PJU 10/1,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,APARTMENT IDAMAN,,JALAN PJU 10/1,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
J,3,12A,APARTMENT IDAMAN,12A,JALAN PJU 10/1,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
H,,03 09,APARTMENT IDAMAN,,,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
H,G,15,APARTMENT IDAMAN,15,JALAN PJU 10/1,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,,50,JALAN PJU 10/14C,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,,15,JALAN PJU 10/14H,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,,120,JALAN PJU 10/14H,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,,11,JALAN PJU 10/14J,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
B,,1,SEA PARK POLICE STATION,,JALAN SS 2/60,DAMANSARA JAYA,47300,PETALING JAYA,SELANGOR,,
H,3,18,SAUJANA APARTMENT,18,JALAN PJU 10/1C,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
Q,3,208,SAUJANA APARTMENT,208,JALAN PJU 10/1C,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
A,4,17,BAYU APARTMENT,17,JALAN PJU 10/4,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
C,1,26,APARTMENT HARMONI,26,JALAN PJU 10/4C,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
J,,302,APARTMENT HARMONI,,JALAN PJU 10/4C,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,,,JALAN PJU 10/9,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,APARTMENT LESTARI,,,DAMANSARA DAMAI,47830,PETALING JAYA,SELANGOR,,
,,,,,JALAN PJU 10/9C,PRIMA DAMANSARA,47830,PETALING JAYA,SELANGOR,,
A,,,RAMPAI IDAMAN APARTMENT,,JALAN PJU 10/9,PRIMA DAMANSARA,47830,PETALING JAYA,SELANGOR,,
,,,,10,JALAN PJU 10/11B,SAUJANA DAMANSARA PJU 10,47830,PETALING JAYA,SELANGOR,,
,,,SUNWAY PINNACLE,,PERSIARAN LAGOON PERDANA,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,24,JALAN PRIMA 3/6,TAMAN PUCHONG PRIMA,47100,PUCHONG,SELANGOR,,
,,,SRI TANJUNG FLAT,,,USJ 16,47630,SUBANG JAYA,SELANGOR,,
,,,,,,TAMAN EQUINE(SOUTHERN BOUND),47500,SUBANG JAYA,SELANGOR,,
,,,,,,,40000,SHAH ALAM,SELANGOR,,
,,,,15A,JALAN LAPANGAN TERBANG SULTAN ABDUL AZ,LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200,SUBANG JAYA,SELANGOR,,
,,,,,,,40000,SHAH ALAM,SELANGOR,,
,2,33,,33,JALAN MATAHARI Z U5/Z,TAMAN SUBANG DAMAI,40150,SHAH ALAM,SELANGOR,,
H,,,,,JALAN PINGGIRAN,BANDAR PINGGIRAN SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,8,JALAN QAMARI U5/112,BANDAR PINGGIRAN SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,8,JALAN QAMARI U5/112A,BANDAR PINGGIRAN SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,3,JALAN ZUHRAH U5/158,BANDAR PINGGIRAN SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,19,JALAN ZUHRAH U5/160,BANDAR PINGGIRAN SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,22,JALAN KUNING U9/24,SUBANG SEJAHTERA,40150,SHAH ALAM,SELANGOR,,
,,,,487,JALAN ENAM,KAMPUNG MELAYU SUBANG TAMBAHAN,40150,SHAH ALAM,SELANGOR,,
,,,,3418K,JALAN TEMBUSU (KAMPUNG MELAYU SUBANG),KAMPUNG MELAYU SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,3379,JALAN TEMBUSU (KAMPUNG MELAYU SUBANG),KAMPUNG MELAYU SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,3440,LORONG MELATI,KAMPUNG MELAYU SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,3477,,KAMPUNG MELAYU SUBANG,40150,SHAH ALAM,SELANGOR,,
,1,17,APARTMENT MUTIARA SUBANG,44,JALAN MUTIARA SUBANG 6,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,B5,JALAN PERTIWI,TENTERA UDARA DIRAJA MALAYSIA SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,,JALAN TUDM,PEKAN SUBANG,40150,SHAH ALAM,SELANGOR,,
5A,10,2,BUNGA RAYA CONDO,,PERSIARAN GOLF,SEKSYEN U2,40150,SHAH ALAM,SELANGOR,,
6B,2,2,BUNGA RAYA CONDO,,PERSIARAN GOLF,SEKSYEN U2,40150,SHAH ALAM,SELANGOR,,
M1,G,16,MERAK APARTMENT,,JALAN URANUS U5/125,SEKSYEN U5,40150,SHAH ALAM,SELANGOR,,
,,,,199,JALAN 2/1,KAMPUNG MELAYU SUBANG TAMBAHAN,40150,SHAH ALAM,SELANGOR,,
,,,,4,JALAN NOVA U5/58,SUBANG BESTARI,40150,SHAH ALAM,SELANGOR,,
2,1,1,PANGSAPURI SERI DELIMA,,JALAN SIGMA U6/14,SUBANG PERMATA,40150,SHAH ALAM,SELANGOR,,
,,,,57,JALAN SIGMA U6/15,SUBANG PERMATA,40150,SHAH ALAM,SELANGOR,,
,,,PANGSAPURI SERI DELIMA,,JALAN SIGMA U6/14,SUBANG PERMATA,40150,SHAH ALAM,SELANGOR,,
,,,SUBANG HIJAUAN,,JALAN BINTANG U5/33,SUBANG SURIA,40150,SHAH ALAM,SELANGOR,,
B7,7,24,APARTMENT SUBANG SURIA,,JALAN BINTANG U5/33,SUBANG SURIA,40150,SHAH ALAM,SELANGOR,,
2,4,28,SURIA SUBANG APARTMENT,,JALAN BINTANG U5/33,SUBANG SURIA,40150,SHAH ALAM,SELANGOR,,
,,,APARTMENT SUBANG SURIA,,PERSIARAN TEKNOLOGI SUBANG,TAMAN TEKNOLOGI TINGGI SUBANG,40150,SHAH ALAM,SELANGOR,,
A,11,16,TAMAN BUKIT PELANGI SUBANG APARTMENT,,JALAN TBP 1,TAMAN BUKIT PELANGI,40150,SHAH ALAM,SELANGOR,,
,,,,,JALAN UTARID U5/13,MUTIARA SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,3,JALAN UTARID U5/9,TAMAN MUTIARA SUBANG SECTION U5,40150,SHAH ALAM,SELANGOR,,
,,,,14,JALAN KEJORA U5/120E,BANDAR PINGGIRAN SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,11,JALAN 12,TAMAN SUBANG BARU,40150,SHAH ALAM,SELANGOR,,
,,,,,JALAN MATAHARI U5/117,TAMAN SUBANG DAMAI,40150,SHAH ALAM,SELANGOR,,
,,,,6A,JALAN SP 2/10,TAMAN SUBANG PERDANA,40150,SHAH ALAM,SELANGOR,,
D,G,28,,,JALAN SP2/6,TAMAN SUBANG PERDANA SEK 2,40150,SHAH ALAM,SELANGOR,,
,,,,15,JALAN SP 4/3,TAMAN SUBANG PERDANA,40150,SHAH ALAM,SELANGOR,,
,,,,24,JALAN SUNGAI BULOH,TAMAN SUBANG PERDANA,40150,SHAH ALAM,SELANGOR,,
,6,7,SURIA SUBANG APARTMENT,,PERSIARAN TEKNOLOGI SUBANG,TAMAN TEKNOLOGI TINGGI SUBANG,40150,SHAH ALAM,SELANGOR,,
,3,13,SURIA SUBANG APARTMENT,,PERSIARAN TEKNOLOGI SUBANG,TAMAN TEKNOLOGI TINGGI SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,52,JALAN U2/3,TAMAN TTDI JAYA,46000,PETALING JAYA,SELANGOR,,
,,,,12,JALAN UTARID U5/5,TAMAN MUTIARA SUBANG SECTION U5,40150,SHAH ALAM,SELANGOR,,
,,,,27,JALAN UTARID U5/8,SUBANG 2,40150,SHAH ALAM,SELANGOR,,
7,2,31,PANGSAPURI LILI,,JALAN METAFASA U16/5,SEKSYEN U16,40160,SHAH ALAM,SELANGOR,,
5,2,3,PANGSAPURI TERATAI,,JALAN METAFASA U16/3,TAMAN BUKIT SUBANG,40160,SHAH ALAM,SELANGOR,,
9,2,10,PANGSAPURI TERATAI,,JALAN METAFASA U16/3,TAMAN BUKIT SUBANG,40160,SHAH ALAM,SELANGOR,,
1,,,APARTMENT MENTARI,,JALAN MATAHARI U5/117,TAMAN SUBANG DAMAI,40150,SHAH ALAM,SELANGOR,,
,,,,11,JALAN ELEKTRON U16/70,DENAI ALAM,40150,SHAH ALAM,SELANGOR,,
,,,,,,SUBANG,40160,SHAH ALAM,SELANGOR,,
B,3,26,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
BIDARA,,,APARTMENT SERI KAYAN,,,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
B,6,14,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
ARA,,,APARTMENT SERI KAYAN,,,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
B,5,14,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
A,1,11,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
ARA,,A-3-24,APARTMENT SERI KAYAN,,,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
A,1,24,PANGSAPURI SERI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
B,3,1,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
B,6,7,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
B,8,2,APARTMENT SERI KAYAN,,,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
A,8,24,PANGSAPURI SERI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
,,,PANGSAPURI SERI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,40400,SHAH ALAM,SELANGOR,,
,,,,15,JALAN KEMUNING DAMAI 32/150,DAMAI RESIDENCES KEMUNING UTAMA,40460,SHAH ALAM,SELANGOR,,
D,1,207,PANGSAPURI SUBANG IMPIAN,,JALAN ZUHAL U5/177,SEKSYEN U5,41050,KLANG,SELANGOR,,
,,,PANGSAPURI SUBANG IMPIAN,,JALAN ZUHAL U5/177,SEKSYEN U5,41050,KLANG,SELANGOR,,
,,,,,JALAN PERTIWI,PANGKALAN TUDM,40000,SHAH ALAM,SELANGOR,,
,,,,,JALAN SABAH,PANGKALAN TUDM SUBANG,40000,SHAH ALAM,SELANGOR,,
,,,RUMAH KELUARGA ANGKATAN TENTERA (RKAT),,,,40000,SHAH ALAM,SELANGOR,,
F4B,G,1,TUDM SUBANG AMQ,,,PENGKALAN UDARA SUBANG,40000,SHAH ALAM,SELANGOR,,
13,1,3,,,,PANGKALAN UDARA,40000,SHAH ALAM,SELANGOR,,
G,1,39,APARTMENT LOTUS,1,JALAN METAFASA U16/3,TAMAN BUKIT SUBANG,40150,SHAH ALAM,SELANGOR,,
,6,,PANGSAPURI SURIA SUBANG,LOT 10,PERSIARAN TEKNOLOGI SUBANG,TAMAN TEKNOLOGI,40400,SHAH ALAM,SELANGOR,,
,,,,1,JALAN PADANG TE,LAPANGAN TERBANG SUBANG,42000,PELABUHAN KLANG,SELANGOR,,
,,,,34181,,KAMPUNG MELAYU SUBANG,47000,SUNGAI BULOH,SELANGOR,,
,,,,10,JALAN SPEKTRIUM U16/17,TAMAN BUKIT SUBANG,40150,SHAH ALAM,SELANGOR,,
E,,5315,SULTAN ABDUL AZIZ SHAH AIRPORT,,,LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200,SUBANG JAYA,SELANGOR,,
,,,,386,JALAN CIKU,SUNGAI WAY,47300,PETALING JAYA,SELANGOR,,
A,15,22,FLAT TAMAN PUTRA DAMAI,,JALAN PJU 1A/42,LEMBAH SUBANG,47301,PETALING JAYA,SELANGOR,,
,,,ASIA PACIFIC AUCTION CENTRE,,JALAN LAPANGAN TERBANG SUBANG,LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200,SUBANG JAYA,SELANGOR,,
,,,,25,JALAN USJ 2/4E,USJ 2,47600,SUBANG JAYA,SELANGOR,,
E,1,9,ONE SOHO,,JALAN KEMAJUAN SUBANG,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
B,2,171,KERANJI APARTMENT,,JALAN SS 19/3A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,4,JALAN SS 19/3A,SS 19 SUBANG JAYA,40150,SHAH ALAM,SELANGOR,,
,,,,,JALAN SS 19/4B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN SS 19/5C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN SS 19/6,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,KLINIK MEDIVIRON SUBANG JAYA (SS19),6,JALAN SS 19/6,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 19/6A,SS 19 SUBANG JAYA,40150,SHAH ALAM,SELANGOR,,
,,,,74,,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,75,JALAN SS 19/6M,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
F,,218,PANGSAPURI SS19,,JALAN SS 19/7A,SS 19,40150,SHAH ALAM,SELANGOR,,
A,,312,FLAT JALAN SS 19,,JALAN SS 19/7A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,NAUTICA LAKE SUITES CONDOMINIUM,7,JALAN SHT 2,SUBANG HEIGHTS EAST,47500,SUBANG JAYA,SELANGOR,,
,,,,13,JALAN SHB 9,SUBANG HEIGHTS WEST,47500,SUBANG JAYA,SELANGOR,,
A,4,10,ACCENTRA GLENMARIETAMAN BUKIT PELANGI APARTMENT,10,JALAN TBP 1,TAMAN BUKIT PELANGI,40150,SHAH ALAM,SELANGOR,,
B,G,8,FLAT SUBANG PERDANA,,JALAN SUBANG PERDANA,TAMAN SUBANG PERDANA,40150,SHAH ALAM,SELANGOR,,
,2,10,SURIA SUBANG APARTMENT,,PERSIARAN TEKNOLOGI SUBANG,TAMAN TEKNOLOGI TINGGI SUBANG,40150,SHAH ALAM,SELANGOR,,
,,,,1,JALAN USJ HEIGHTS 2/1A,USJ HEIGHTS,40150,SHAH ALAM,SELANGOR,,
,,,,43,JALAN USJ HEIGHTS 2/2A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,7,JALAN USJ HEIGHTS 2/2E,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN USJ HEIGHTS 3/2A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,12A,JALAN USJ HEIGHTS 3/2B,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN USJ HEIGHTS 1/1B,USJ HEIGHTS,40150,SHAH ALAM,SELANGOR,,
,,,,10,JALAN USJ HEIGHTS 7/1A,USJ HEIGHTS,40150,SHAH ALAM,SELANGOR,,
,,,,2A,JALAN USJ HEIGHTS 8/1A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
4,1,05-Apr,PANGSAPURI TERATAI,,JALAN METAFASA U16,TAMAN BUKIT SUBANG,40160,SHAH ALAM,SELANGOR,,
A,1,1,PANGSAPURI SRI MUTIARA,,JALAN PUTRA INDAH 9/1C,PUTRA HEIGHTS,47650,SUBANG JAYA,SELANGOR,,
A,9,18,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
A,10,10,PANGSAPURI SRI KAYAN,,JALAN PINGGIRAN USJ 2/1,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
,,,,15,JALAN PINGGIRAN USJ 2/3,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
,,,,47,JALAN PINGGIRAN USJ 3/7,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
,5,3,PANGSAPURI SERI NIPAH,,JALAN SM2,TAMAN PINGGIRAN USJ,47600,SUBANG JAYA,SELANGOR,,
,10,21,DK SENZA RESIDENCE,,JALAN TAYLORS,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
A,8,1,RHYTHM AVENUE,,PERSIARAN KEWAJIPAN,USJ 19,47630,SUBANG JAYA,SELANGOR,,
,,,SUMMIT HOTEL USJ,,PERSIARAN KEWAJIPAN,USJ 1,47600,SUBANG JAYA,SELANGOR,,
,,,,61,JALAN USJ 5/1G,USJ 5,47610,SUBANG JAYA,SELANGOR,,
,,,,75,JALAN USJ 11/1F,USJ 11,47620,SUBANG JAYA,SELANGOR,,
,,,,50,JALAN USJ 11/7,USJ 11,47620,SUBANG JAYA,SELANGOR,,
,1,1,KUARTERS KTM,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,SUBANG PERDANA GOODYEAR COURT,,JALAN USJ 6/1,USJ 6,47610,SUBANG JAYA,SELANGOR,,
,,,"TAYLOR'S LAKESIDE CAMPUS, SUBANG JAYA",1,JALAN TAYLOR'S,,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN PJS 7/12,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,4,JALAN PJS 7/7K,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN PJS 7/7K,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN PUTRA HARMONI 1/3,PUTRA AVENUE,47650,SUBANG JAYA,SELANGOR,,
,,,,5,JALAN PUTRA HARMONI 1/3A,PUTRA AVENUE,47100,PUCHONG,SELANGOR,,
,,,,12,JALAN PUTRA HARMONI 1/3A,PUTRA CREST,47650,SUBANG JAYA,SELANGOR,,
,,,GLADES,7,JALAN PUTRA PERDANA 10,PUTRA HEIGHTS,47650,SUBANG JAYA,SELANGOR,,
