Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
,,,,29,JALAN 29,TAMAN MEDAN,46000,PETALING JAYA,SELANGOR,,
C,,,MBPJ QUARTERS,316,JALAN 4/46,SEKSYEN 4,46050,PETALING JAYA,SELANGOR,,
A,5,512,MBPJ QUARTERS,,JALAN 4/46,SEKSYEN 4,46050,PETALING JAYA,SELANGOR,,
,,,,39,JALAN 4/54,SEKSYEN 4,46050,PETALING JAYA,SELANGOR,,
A2,9,,KUARTERS PDRM,,,TAMAN DESA BAIDURI,43200,KUALA LUMPUR,SELANGOR,,
A,7,1,MILLENNIUM SQUARE CONDOMINIUM,98,JALAN 14/1,,46100,PETALING JAYA,SELANGOR,,
,,,,39,JALAN 14/5,SEKSYEN 14,46100,PETALING JAYA,SELANGOR,,
,,,,23,JALAN 51A/223B,SEKSYEN 51A,46100,PETALING JAYA,SELANGOR,,
C,7,1,PANGSAPURI IMPIAN BAIDURI,91,JALAN 51A/224,SEKSYEN 51A,46100,PETALING JAYA,SELANGOR,,
C,15,1,PANGSAPURI IMPIAN BAIDURI,91,JALAN 51A/224,SEKSYEN 51A,46100,PETALING JAYA,SELANGOR,,
B,1,4,DESA MENTARI,,,TAMAN DESA RIA,46150,PETALING JAYA,SELANGOR,,
,,,,15,JALAN PJS 10/10,,46150,PETALING JAYA,SELANGOR,,
,,,,27A,JALAN PJS 10/32,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
B,3A,11,DAMAI APARTMENT,,JALAN PJS 8/9,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
A,,306,RIDZUAN APARTMENT,60,LORONG PJS 10/24A,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
,,,RIDZUAN APARTMENT,,JALAN PJS 10/11A,,46150,PETALING JAYA,SELANGOR,,
,,,,,LORONG PJS 2C/11B,KAMPUNG MEDAN,46150,PETALING JAYA,SELANGOR,,
,,,,11,JALAN 3,,46150,PETALING JAYA,SELANGOR,,
B7,11,10,PARK AVENUE,,,BANDAR UTAMAPARK AVENUE,47800,PETALING JAYA,SELANGOR,,
B1,G,9,1120 PARK AVENUE,,JALAN PJS 1/52,BANDAR UTAMA,47800,PETALING JAYA,SELANGOR,,
C2,1,8,SUBANG VILLE EHSAN APARTMENT,,JALAN PJS 10/11A,PJS 10,46150,PETALING JAYA,SELANGOR,,
C1,2,21,SUBANG VILLE EHSAN APARTMENT,,JALAN PJS 11/10,PJS 10,46150,PETALING JAYA,SELANGOR,,
A,3,406,,,JALAN PJS 10/24,,46150,PETALING JAYA,SELANGOR,,
,,,,,JALAN PJS 8/14,,46150,PETALING JAYA,SELANGOR,,
,,,,43,JALAN PJS 4/10,,46000,PETALING JAYA,SELANGOR,,
5,4,412,,,JALAN PJS 6/3B,,46150,PETALING JAYA,SELANGOR,,
,,,,2,JALAN PJS 7/16A,BANDAR SUNWAY,46150,PETALING JAYA,SELANGOR,,
A,7,10,DATARAN MENTARI,,JALAN PJS 8/9,PETALING JAYA - SEKSYEN SS 8 - SS 10,46150,PETALING JAYA,SELANGOR,,
,,,,21,,,46150,PETALING JAYA,SELANGOR,,
B3,5,11,DESA MENTARI FLAT,,JALAN PJS 5/12,TAMAN DESA RIA,46150,PETALING JAYA,SELANGOR,,
P,,,,,JALAN PJS 5/18,,46150,PETALING JAYA,SELANGOR,,
B1,6,5,DESA MENTARI,,JALAN PJS 6/5E,TAMAN DESA RIA,46150,PETALING JAYA,SELANGOR,,
G,7,2,TAMAN MEDAN CAHAYA APARTMENT,,JALAN PJS 2C/2,TAMAN MEDAN,46150,PETALING JAYA,SELANGOR,,
D,6,18,DATARAN MENTARI,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
B,14,22,MENTARI COURT APARTMENT,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
G,2,13,DATARAN MENTARI,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
D,10,17,MENTARI COURT APARTMENT,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
A,,,DATARAN MENTARI,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
B,14,15,DATARAN MENTARI,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
A,2,22,MENTARI COURT APARTMENT,,JALAN PJS 8/9,,46150,PETALING JAYA,SELANGOR,,
,,,EHSAN RIA CONDOMINIUM,,JALAN BUKIT 11/2,SEKSYEN 11,46200,PETALING JAYA,SELANGOR,,
,,,SRI AMAN APARTMENT,,JALAN 22/44,,46300,PETALING JAYA,SELANGOR,,
A,LG2,5,,11,JALAN 19/1,SEKSYEN 19,46300,PETALING JAYA,SELANGOR,,
,,,,25,JALAN 20/9,TAMAN PARAMOUNT,46300,PETALING JAYA,SELANGOR,,
J,5,5,,13,JALAN PJS 5/30,,46150,PETALING JAYA,SELANGOR,,
,,,,96,JALAN SS2/55,SS 2,43000,PETALING JAYA,SELANGOR,,
,,,,,JALAN SS 3/80,PETALING JAYA - SEKSYEN SS 1 - SS 3,47300,PETALING JAYA,SELANGOR,,
,,,RESTORAN TWELVE ROAD,,JALAN SS 9A/12,SUNGAI WAY,47300,PETALING JAYA,SELANGOR,,
,,,,57,JALAN BAIDURI SS1/22,KAMPUNG TUNKU,47300,PETALING JAYA,SELANGOR,,
,,,,5,JALAN SS 1/23B,KAMPUNG BARU SUNGAI WAY,47300,PETALING JAYA,SELANGOR,,
,,,,67,JALAN SS 1/38,KAMPUNG TUNKU,47300,PETALING JAYA,SELANGOR,,
,,,KEN DAMANSARA 3,,JALAN SS 2/72 KELANA JAYA,SEKSYEN 19,47300,PETALING JAYA,SELANGOR,,
,,,,12,JALAN SS 2/14,SS 2,47300,PETALING JAYA,SELANGOR,,
,,,CASA DAMANSARA 2,,JALAN SS 2/72 KELANA JAYA,SS 2,47300,PETALING JAYA,SELANGOR,,
B,14,1405,,,,SS 8,47650,SUBANG JAYA,SELANGOR,,
B1,4,12,KELANA IMPIAN APARTMENT,12,JALAN SS 8/7,SS 8,47300,PETALING JAYA,SELANGOR,,
B,12,1201,,,JALAN SS 8/7,SS 8,47300,PETALING JAYA,SELANGOR,,
,,,,45,JALAN SS 3/39,TAMAN UNIVERSITI,47300,PETALING JAYA,SELANGOR,,
,,,,11A,JALAN SS 3/40,TAMAN UNIVERSITI,47300,PETALING JAYA,SELANGOR,,
,,,,33,JALAN SS 3/51,TAMAN UNIVERSITI,47300,PETALING JAYA,SELANGOR,,
,,,,32,JALAN SS 3/72,PETALING JAYA - SEKSYEN SS 1 - SS 3,47300,PETALING JAYA,SELANGOR,,
B,13,1322,FLAT TAMAN PUTRA DAMAI,,JALAN PJU 1A/42,LEMBAH SUBANG,47301,PETALING JAYA,SELANGOR,,
E,8,8,PPR LEMBAH SUBANG,,JALAN PJU 1A/40,TAMAN PUTRA DAMAI,47301,PETALING JAYA,SELANGOR,,
5,,,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PUSAT DAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
,,,,,JALAN SS 4C/5,SS 4,47301,PETALING JAYA,SELANGOR,,
,,,,16,LORONG PJU 1/46B,AMAN SURIA,47301,PETALING JAYA,SELANGOR,,
,,,,20,JALAN PJU 1A/26D,ARA DAMANSARA,47301,PETALING JAYA,SELANGOR,,
C4,3,13,ARA HILL RESORTS CONDOMINIUM,,JALAN PJU 1A/31,ARA DAMANSARA,47301,PETALING JAYA,SELANGOR,,
D,11,1,D' AMAN CRIMSON,41,JALAN PJU 1A/41,ARA DAMANSARA,47301,PETALING JAYA,SELANGOR,,
R,15,3,D'AMAN RIA,,JALAN PJU 1A/41,ARA DAMANSARA,47301,PETALING JAYA,SELANGOR,,
,,,,2A,JALAN PJU 1A/43E,ARA DAMANSARA,47301,PETALING JAYA,SELANGOR,,
D,,,SRI ARA APARTMENT,,JALAN PJU 1A/5,TAMAN PERINDUSTRIAN JAYA,47301,PETALING JAYA,SELANGOR,,
a,,1211,FLAT TAMAN PUTRA DAMAI,,JALAN PJU 1A/42,LEMBAH SUBANG,47301,PETALING JAYA,SELANGOR,,
E,10,1016,,,LEBUH SUBANG,,47600,SUBANG JAYA,SELANGOR,,
A,11,1119,FLAT TAMAN PUTRA DAMAI,,JALAN PJU 1A/42,LEMBAH SUBANG,47301,PETALING JAYA,SELANGOR,,
3,5,3,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
R,12,1,D'AMAN RIA,3,JALAN PJU 1A/41,ARA DAMANSARA,47301,PETALING JAYA,SELANGOR,,
,,,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,SUBANG,47301,PETALING JAYA,SELANGOR,,
3,8,2,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
5,,,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
2,2,5,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
3,3A,1,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
4,9,8,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
2,3A,3,PUNCAK SERI KELANA,3,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
6,6,3A,PUNCAK NUSA KELANA CONDOMINIUM,3A,JALAN PJU 1A/48,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
1,2,1,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
1,2,11,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
2,6,8,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
4,15,6,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
,,,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
3,13,3,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
1,3,12,PUNCAK SERI KELANA CONDOMINIUM,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
3,1,2,PUNCAK SERI KELANA,,JALAN PJU 1A/46,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
